|micro_category|macro_category|human_strings
69|Rent/Mortgage|Housing & Utilities|rent march 2025
70|Rent/Mortgage|Housing & Utilities|march rent payment
71|Rent/Mortgage|Housing & Utilities|rental payment march
72|Rent/Mortgage|Housing & Utilities|rent for march
73|Rent/Mortgage|Housing & Utilities|apr rent
74|Rent/Mortgage|Housing & Utilities|april rent
75|Rent/Mortgage|Housing & Utilities|april rent payment
76|Rent/Mortgage|Housing & Utilities|rent april 2025
77|Rent/Mortgage|Housing & Utilities|apr rent 2025
78|Rent/Mortgage|Housing & Utilities|rental payment april
79|Rent/Mortgage|Housing & Utilities|rent for april
80|Rent/Mortgage|Housing & Utilities|may rent
81|Rent/Mortgage|Housing & Utilities|may rent payment
82|Rent/Mortgage|Housing & Utilities|rent may 2025
83|Rent/Mortgage|Housing & Utilities|may rent 2025
84|Rent/Mortgage|Housing & Utilities|rental payment may
85|Rent/Mortgage|Housing & Utilities|rent for may
86|Rent/Mortgage|Housing & Utilities|june rent
87|Rent/Mortgage|Housing & Utilities|june rent payment
88|Rent/Mortgage|Housing & Utilities|rent june 2025
89|Rent/Mortgage|Housing & Utilities|june rent 2025
90|Rent/Mortgage|Housing & Utilities|rental payment june
91|Rent/Mortgage|Housing & Utilities|rent for june
92|Rent/Mortgage|Housing & Utilities|july rent
93|Rent/Mortgage|Housing & Utilities|july rent payment
94|Rent/Mortgage|Housing & Utilities|rent july 2025
95|Rent/Mortgage|Housing & Utilities|july rent 2025
96|Rent/Mortgage|Housing & Utilities|rental payment july
97|Rent/Mortgage|Housing & Utilities|rent for july
98|Rent/Mortgage|Housing & Utilities|mortgage payment
99|Rent/Mortgage|Housing & Utilities|mortgage
100|Rent/Mortgage|Housing & Utilities|monthly mortgage
101|Rent/Mortgage|Housing & Utilities|house mortgage
102|Rent/Mortgage|Housing & Utilities|apartment mortgage
103|Rent/Mortgage|Housing & Utilities|mortgage payment due
104|Rent/Mortgage|Housing & Utilities|mortgage payment august
105|Rent/Mortgage|Housing & Utilities|mortgage august
106|Rent/Mortgage|Housing & Utilities|mortgage september
107|Rent/Mortgage|Housing & Utilities|mortgage october
108|Rent/Mortgage|Housing & Utilities|mortgage november
109|Rent/Mortgage|Housing & Utilities|mortgage december
110|Rent/Mortgage|Housing & Utilities|mortgage january
111|Rent/Mortgage|Housing & Utilities|mortgage february
112|Rent/Mortgage|Housing & Utilities|mortgage march
113|Rent/Mortgage|Housing & Utilities|mortgage april
114|Rent/Mortgage|Housing & Utilities|mortgage may
115|Rent/Mortgage|Housing & Utilities|mortgage june
116|Rent/Mortgage|Housing & Utilities|mortgage july
117|Rent/Mortgage|Housing & Utilities|Landlord payment
118|Rent/Mortgage|Housing & Utilities|rent to John
119|Rent/Mortgage|Housing & Utilities|rental fee
120|Rent/Mortgage|Housing & Utilities|monthly housing cost
121|Rent/Mortgage|Housing & Utilities|housing payment
122|Rent/Mortgage|Housing & Utilities|accommodation cost
123|Rent/Mortgage|Housing & Utilities|apartment payment
124|Rent/Mortgage|Housing & Utilities|house payment
125|Rent/Mortgage|Housing & Utilities|Mortgage payment on 123 Main st
126|Rent/Mortgage|Housing & Utilities|Rent payment for 456 Oak Ave
127|Rent/Mortgage|Housing & Utilities|Rental payment at 789 Pine Ln
128|Rent/Mortgage|Housing & Utilities|Monthly payment for apartment at 1011 Willow Dr
129|Rent/Mortgage|Housing & Utilities|Housing expense for 1213 Maple St
130|Rent/Mortgage|Housing & Utilities|$1500 rent
131|Rent/Mortgage|Housing & Utilities|$2000 mortgage
132|Rent/Mortgage|Housing & Utilities|Rent: $1200
133|Rent/Mortgage|Housing & Utilities|Mortgage: $2500
134|Rent/Mortgage|Housing & Utilities|Rental payment: $1000
135|Rent/Mortgage|Housing & Utilities|Rent check
136|Rent/Mortgage|Housing & Utilities|Mortgage check
137|Rent/Mortgage|Housing & Utilities|Check for rent
138|Rent/Mortgage|Housing & Utilities|Check for mortgage
139|Property Taxes|Housing & Utilities|Property tax payment
140|Property Taxes|Housing & Utilities|Paid property taxes
141|Property Taxes|Housing & Utilities|Property tax bill
142|Property Taxes|Housing & Utilities|Real estate tax payment
143|Property Taxes|Housing & Utilities|Tax payment for property
144|Property Taxes|Housing & Utilities|2023 property tax
145|Property Taxes|Housing & Utilities|Property tax assessment
146|Property Taxes|Housing & Utilities|Annual property tax
147|Property Taxes|Housing & Utilities|City property tax
148|Property Taxes|Housing & Utilities|County property tax
149|Property Taxes|Housing & Utilities|School property tax
150|Property Taxes|Housing & Utilities|Property tax installment
151|Property Taxes|Housing & Utilities|1st half property tax
152|Property Taxes|Housing & Utilities|2nd half property tax
153|Property Taxes|Housing & Utilities|Property tax due
154|Property Taxes|Housing & Utilities|Late property tax payment
155|Property Taxes|Housing & Utilities|Delinquent property tax
156|Property Taxes|Housing & Utilities|Property tax refund
157|Property Taxes|Housing & Utilities|Property tax credit
158|Property Taxes|Housing & Utilities|Property tax exemption
159|Property Taxes|Housing & Utilities|Real estate taxes
160|Property Taxes|Housing & Utilities|Taxes on property
161|Property Taxes|Housing & Utilities|Home property taxes
162|Property Taxes|Housing & Utilities|Apartment property taxes
163|Property Taxes|Housing & Utilities|Commercial property taxes
164|Property Taxes|Housing & Utilities|Property tax notice
165|Property Taxes|Housing & Utilities|Tax assessment for property
166|Property Taxes|Housing & Utilities|Property tax appeal
167|Property Taxes|Housing & Utilities|Property tax lien
168|Property Taxes|Housing & Utilities|Property tax sale
169|Property Taxes|Housing & Utilities|Payment of property taxes
170|Property Taxes|Housing & Utilities|Property tax statement
171|Property Taxes|Housing & Utilities|Property tax bill paid
172|Property Taxes|Housing & Utilities|Property taxes paid in full
173|Property Taxes|Housing & Utilities|Property taxes due date
174|Property Taxes|Housing & Utilities|Property taxes reminder
175|Property Taxes|Housing & Utilities|Property tax increase
176|Property Taxes|Housing & Utilities|Property tax decrease
177|Property Taxes|Housing & Utilities|Property tax rate
178|Property Taxes|Housing & Utilities|Property tax calculator
179|Property Taxes|Housing & Utilities|Property tax estimator
180|Property Taxes|Housing & Utilities|Property tax services
181|Property Taxes|Housing & Utilities|Property tax consultant
182|Property Taxes|Housing & Utilities|Property tax software
183|Property Taxes|Housing & Utilities|Property tax help
184|Property Taxes|Housing & Utilities|How to pay property taxes
185|Property Taxes|Housing & Utilities|Where to pay property taxes
186|Property Taxes|Housing & Utilities|Property tax information
187|Property Taxes|Housing & Utilities|Property tax FAQs
188|Property Taxes|Housing & Utilities|Property tax forms
189|Property Taxes|Housing & Utilities|Property tax appeal process
190|Property Taxes|Housing & Utilities|Property tax abatement
191|Property Taxes|Housing & Utilities|Property tax deferral
192|Property Taxes|Housing & Utilities|Property tax relief
193|Property Taxes|Housing & Utilities|Senior property tax exemption
194|Property Taxes|Housing & Utilities|Disabled property tax exemption
195|Property Taxes|Housing & Utilities|Veteran property tax exemption
196|Property Taxes|Housing & Utilities|Property tax protest
197|Property Taxes|Housing & Utilities|Property tax dispute
198|Property Taxes|Housing & Utilities|Property tax audit
199|Property Taxes|Housing & Utilities|Property tax reassessment
200|Property Taxes|Housing & Utilities|Property tax review
201|Property Taxes|Housing & Utilities|Property tax valuation
202|Property Taxes|Housing & Utilities|Property tax assessment appeal
203|Property Taxes|Housing & Utilities|Property Tax
204|Property Taxes|Housing & Utilities|Property Taxes Due
205|Property Taxes|Housing & Utilities|My Property Taxes
206|Property Taxes|Housing & Utilities|Check Property Taxes
207|Property Taxes|Housing & Utilities|Property Tax Payment Receipt
208|Property Taxes|Housing & Utilities|Property Tax Bill Online
209|Property Taxes|Housing & Utilities|Property tax online payment
210|Property Taxes|Housing & Utilities|property tax
211|Property Taxes|Housing & Utilities|property taxes paid
212|Property Taxes|Housing & Utilities|paid property taxes
213|Property Taxes|Housing & Utilities|property tax payment
214|Property Taxes|Housing & Utilities|property tax bill
215|Property Taxes|Housing & Utilities|real estate tax
216|Property Taxes|Housing & Utilities|real estate taxes paid
217|Property Taxes|Housing & Utilities|Property Tax
218|Property Taxes|Housing & Utilities|Property Taxes
219|Property Taxes|Housing & Utilities|Property tax payment
220|Property Taxes|Housing & Utilities|Real Estate Tax
221|Property Taxes|Housing & Utilities|Real Estate Taxes
222|Property Taxes|Housing & Utilities|Property Tax Bill
223|Property Taxes|Housing & Utilities|Property Tax Payment
224|Property Taxes|Housing & Utilities|Real Estate Tax Bill
225|Property Taxes|Housing & Utilities|Real Estate Tax Payment
226|Property Taxes|Housing & Utilities|Annual property tax payment
227|Property Taxes|Housing & Utilities|Semi-annual property tax payment
228|Property Taxes|Housing & Utilities|Quarterly property tax payment
229|Property Taxes|Housing & Utilities|Monthly property tax payment
230|Property Taxes|Housing & Utilities|City property tax
231|Property Taxes|Housing & Utilities|County property tax
232|Property Taxes|Housing & Utilities|School property tax
233|Property Taxes|Housing & Utilities|Special district property tax
234|Property Taxes|Housing & Utilities|Property tax for house
235|Property Taxes|Housing & Utilities|Property tax for apartment
236|Property Taxes|Housing & Utilities|Property tax for condo
237|Property Taxes|Housing & Utilities|Property tax for commercial building
238|Property Taxes|Housing & Utilities|Property Tax Due Date
239|Property Taxes|Housing & Utilities|Property Tax Payment Deadline
240|Property Taxes|Housing & Utilities|Property Tax Late Fee
241|Property Taxes|Housing & Utilities|Property Tax Estimate
242|Property Taxes|Housing & Utilities|Property Tax Calculator
243|Property Taxes|Housing & Utilities|Property Tax Assessment
244|Property Taxes|Housing & Utilities|Property Tax Refund
245|Property Taxes|Housing & Utilities|Property Tax Credit
246|Property Taxes|Housing & Utilities|Property Tax Exemption
247|Property Taxes|Housing & Utilities|Property Tax Appeal
248|Property Taxes|Housing & Utilities|Property Tax Protest
249|Property Taxes|Housing & Utilities|Property Tax Dispute
250|Property Taxes|Housing & Utilities|Property Tax Lien
251|Property Taxes|Housing & Utilities|Property Tax Sale
252|Property Taxes|Housing & Utilities|Property Tax Foreclosure
253|Property Taxes|Housing & Utilities|Property tax increase
254|Property Taxes|Housing & Utilities|Property tax decrease
255|Property Taxes|Housing & Utilities|Property tax reassessment
256|Property Taxes|Housing & Utilities|Property tax rate
257|Property Taxes|Housing & Utilities|Property tax mill rate
258|Property Taxes|Housing & Utilities|Property tax levy
259|Property Taxes|Housing & Utilities|Property tax services
260|Property Taxes|Housing & Utilities|Property tax consultant
261|Property Taxes|Housing & Utilities|Property tax software
262|Property Taxes|Housing & Utilities|Payment of property taxes
263|Property Taxes|Housing & Utilities|Property tax statement
264|Property Taxes|Housing & Utilities|Property tax bill paid
265|Property Taxes|Housing & Utilities|Property taxes paid in full
266|Property Taxes|Housing & Utilities|Property taxes due date
267|Property Taxes|Housing & Utilities|Property taxes reminder
268|Property Taxes|Housing & Utilities|Property tax information
269|Property Taxes|Housing & Utilities|Property tax FAQs
270|Property Taxes|Housing & Utilities|Property tax forms
271|Property Taxes|Housing & Utilities|Property tax abatement
272|Property Taxes|Housing & Utilities|Property tax deferral
273|Property Taxes|Housing & Utilities|Property tax relief
274|Property Taxes|Housing & Utilities|Senior property tax exemption
275|Property Taxes|Housing & Utilities|Disabled property tax exemption
276|Property Taxes|Housing & Utilities|Veteran property tax exemption
277|Property Taxes|Housing & Utilities|Property tax audit
278|Property Taxes|Housing & Utilities|Property tax review
279|Property Taxes|Housing & Utilities|Property tax valuation
280|Property Taxes|Housing & Utilities|Property tax assessment appeal
281|Property Taxes|Housing & Utilities|Property tax board of review
282|Property Taxes|Housing & Utilities|Property tax court
283|Property Taxes|Housing & Utilities|Paid my property taxes
284|Property Taxes|Housing & Utilities|Property taxes are paid
285|Property Taxes|Housing & Utilities|Property tax is paid
286|Property Taxes|Housing & Utilities|My property tax bill
287|Property Taxes|Housing & Utilities|My property taxes
288|Property Taxes|Housing & Utilities|My property tax payment
289|Property Taxes|Housing & Utilities|Property tax online payment
290|Property Taxes|Housing & Utilities|Property tax payment online
291|Property Taxes|Housing & Utilities|E-payment of property taxes
292|Property Taxes|Housing & Utilities|Property tax by mail
293|Property Taxes|Housing & Utilities|Property tax by phone
294|Property Taxes|Housing & Utilities|Property tax in person
295|Property Taxes|Housing & Utilities|Property tax receipt
296|Property Taxes|Housing & Utilities|Property tax confirmation
297|Property Taxes|Housing & Utilities|Proof of property tax payment
298|Property Taxes|Housing & Utilities|Late property tax payment penalty
299|Property Taxes|Housing & Utilities|Property tax interest
300|Property Taxes|Housing & Utilities|Property tax penalties
301|Property Taxes|Housing & Utilities|Property tax exemption application
302|Property Taxes|Housing & Utilities|Property tax appeal form
303|Property Taxes|Housing & Utilities|Property tax payment plan
304|Property Taxes|Housing & Utilities|Property tax for 2023
305|Property Taxes|Housing & Utilities|Property tax for 2024
306|Property Taxes|Housing & Utilities|Property tax for 2025
307|Property Taxes|Housing & Utilities|Property tax from city
308|Property Taxes|Housing & Utilities|Property tax from county
309|Property Taxes|Housing & Utilities|Property tax from school district
310|Property Taxes|Housing & Utilities|Property tax on home
311|Property Taxes|Housing & Utilities|Property tax on apartment
312|Property Taxes|Housing & Utilities|Property tax on business
313|Property Taxes|Housing & Utilities|Property tax amount
314|Property Taxes|Housing & Utilities|Property tax total
315|Property Taxes|Housing & Utilities|Property tax balance
316|Property Taxes|Housing & Utilities|Property tax due date
317|Property Taxes|Housing & Utilities|Property tax payment due date
318|Property Taxes|Housing & Utilities|Property tax deadline
319|Property Taxes|Housing & Utilities|Property tax bill online
320|Property Taxes|Housing & Utilities|Property tax payment online
321|Property Taxes|Housing & Utilities|View property tax bill online
322|Property Taxes|Housing & Utilities|Download property tax bill
323|Property Taxes|Housing & Utilities|Download property tax statement
324|Property Taxes|Housing & Utilities|Print property tax bill
325|Property Taxes|Housing & Utilities|Property tax help
326|Property Taxes|Housing & Utilities|Property tax assistance
327|Property Taxes|Housing & Utilities|Property tax support
328|Property Taxes|Housing & Utilities|Property tax questions
329|Property Taxes|Housing & Utilities|Property tax inquiries
330|Property Taxes|Housing & Utilities|Property tax concerns
331|Property Taxes|Housing & Utilities|Contact about property tax
332|Property Taxes|Housing & Utilities|Contact regarding property tax
333|Property Taxes|Housing & Utilities|Call about property tax
334|Property Taxes|Housing & Utilities|Property tax office
335|Property Taxes|Housing & Utilities|Property tax department
336|Property Taxes|Housing & Utilities|Property tax assessor
337|Property Taxes|Housing & Utilities|Property tax website
338|Property Taxes|Housing & Utilities|Property tax portal
339|Property Taxes|Housing & Utilities|Property tax online services
340|Property Taxes|Housing & Utilities|Property tax regulations
341|Property Taxes|Housing & Utilities|Property tax laws
342|Property Taxes|Housing & Utilities|Property tax rules
343|Property Taxes|Housing & Utilities|Property tax history
344|Property Taxes|Housing & Utilities|Property tax records
345|Property Taxes|Housing & Utilities|Property tax data
346|Property Taxes|Housing & Utilities|Property tax comparison
347|Property Taxes|Housing & Utilities|Property tax analysis
348|Property Taxes|Housing & Utilities|Property tax trends
349|Property Taxes|Housing & Utilities|Property tax impact
350|Property Taxes|Housing & Utilities|Property tax burden
351|Property Taxes|Housing & Utilities|Property tax effect
352|Property Taxes|Housing & Utilities|Property tax fairness
353|Property Taxes|Housing & Utilities|Property tax equity
354|Property Taxes|Housing & Utilities|Property tax justice
355|Property Taxes|Housing & Utilities|Property tax reform
356|Property Taxes|Housing & Utilities|Property tax changes
357|Property Taxes|Housing & Utilities|Property tax updates
358|Property Taxes|Housing & Utilities|Property tax news
359|Property Taxes|Housing & Utilities|Property tax articles
360|Property Taxes|Housing & Utilities|Property tax information
361|Property Taxes|Housing & Utilities|Property tax debate
362|Property Taxes|Housing & Utilities|Property tax discussion
363|Property Taxes|Housing & Utilities|Property tax controversy
364|Property Taxes|Housing & Utilities|Property tax policy
365|Property Taxes|Housing & Utilities|Property tax legislation
366|Property Taxes|Housing & Utilities|Property tax regulations
367|Home Maintenance & Repairs|Housing & Utilities|fixed the leaky faucet
368|Home Maintenance & Repairs|Housing & Utilities|plumber fixed the leaky faucet
369|Home Maintenance & Repairs|Housing & Utilities|leaky faucet repair
370|Home Maintenance & Repairs|Housing & Utilities|repair dripping tap
371|Home Maintenance & Repairs|Housing & Utilities|new shower head installed
372|Home Maintenance & Repairs|Housing & Utilities|installed new shower head
373|Home Maintenance & Repairs|Housing & Utilities|replaced the shower head
374|Home Maintenance & Repairs|Housing & Utilities|toilet repair
375|Home Maintenance & Repairs|Housing & Utilities|fixed the toilet
376|Home Maintenance & Repairs|Housing & Utilities|running toilet repair
377|Home Maintenance & Repairs|Housing & Utilities|clogged drain
378|Home Maintenance & Repairs|Housing & Utilities|fixed clogged drain
379|Home Maintenance & Repairs|Housing & Utilities|drain cleaning
380|Home Maintenance & Repairs|Housing & Utilities|plumber unclogged the drain
381|Home Maintenance & Repairs|Housing & Utilities|cleaned gutters
382|Home Maintenance & Repairs|Housing & Utilities|gutter cleaning
383|Home Maintenance & Repairs|Housing & Utilities|cleaned the gutters
384|Home Maintenance & Repairs|Housing & Utilities|gutter repair
385|Home Maintenance & Repairs|Housing & Utilities|fixed the gutters
386|Home Maintenance & Repairs|Housing & Utilities|replaced broken window pane
387|Home Maintenance & Repairs|Housing & Utilities|window repair
388|Home Maintenance & Repairs|Housing & Utilities|new window pane
389|Home Maintenance & Repairs|Housing & Utilities|painting the walls
390|Home Maintenance & Repairs|Housing & Utilities|painted the living room
391|Home Maintenance & Repairs|Housing & Utilities|interior painting
392|Home Maintenance & Repairs|Housing & Utilities|exterior painting
393|Home Maintenance & Repairs|Housing & Utilities|house painting
394|Home Maintenance & Repairs|Housing & Utilities|new light fixture
395|Home Maintenance & Repairs|Housing & Utilities|installed a new light fixture
396|Home Maintenance & Repairs|Housing & Utilities|light fixture installation
397|Home Maintenance & Repairs|Housing & Utilities|replaced the light switch
398|Home Maintenance & Repairs|Housing & Utilities|light switch replacement
399|Home Maintenance & Repairs|Housing & Utilities|electrical work
400|Home Maintenance & Repairs|Housing & Utilities|electrician visit
401|Home Maintenance & Repairs|Housing & Utilities|repaired the fence
402|Home Maintenance & Repairs|Housing & Utilities|fence repair
403|Home Maintenance & Repairs|Housing & Utilities|fixed the fence
404|Home Maintenance & Repairs|Housing & Utilities|pest control
405|Home Maintenance & Repairs|Housing & Utilities|pest control service
406|Home Maintenance & Repairs|Housing & Utilities|exterminator
407|Home Maintenance & Repairs|Housing & Utilities|replaced broken tiles
408|Home Maintenance & Repairs|Housing & Utilities|tile repair
409|Home Maintenance & Repairs|Housing & Utilities|fixed broken tiles
410|Home Maintenance & Repairs|Housing & Utilities|roof repair
411|Home Maintenance & Repairs|Housing & Utilities|roof leak repair
412|Home Maintenance & Repairs|Housing & Utilities|fixed roof leak
413|Home Maintenance & Repairs|Housing & Utilities|repaired the roof
414|Home Maintenance & Repairs|Housing & Utilities|new floorboards
415|Home Maintenance & Repairs|Housing & Utilities|floor repair
416|Home Maintenance & Repairs|Housing & Utilities|replaced floorboards
417|Home Maintenance & Repairs|Housing & Utilities|replaced broken floorboards
418|Home Maintenance & Repairs|Housing & Utilities|fixed the floorboards
419|Home Maintenance & Repairs|Housing & Utilities|new carpet
420|Home Maintenance & Repairs|Housing & Utilities|carpet installation
421|Home Maintenance & Repairs|Housing & Utilities|carpet replacement
422|Home Maintenance & Repairs|Housing & Utilities|new hardwood floors
423|Home Maintenance & Repairs|Housing & Utilities|hardwood floor installation
424|Home Maintenance & Repairs|Housing & Utilities|hardwood floor replacement
425|Home Maintenance & Repairs|Housing & Utilities|repaired the deck
426|Home Maintenance & Repairs|Housing & Utilities|deck repair
427|Home Maintenance & Repairs|Housing & Utilities|fixed the deck
428|Home Maintenance & Repairs|Housing & Utilities|pressure washing
429|Home Maintenance & Repairs|Housing & Utilities|power washed the house
430|Home Maintenance & Repairs|Housing & Utilities|house cleaning
431|Home Maintenance & Repairs|Housing & Utilities|yard work
432|Home Maintenance & Repairs|Housing & Utilities|landscaping
433|Home Maintenance & Repairs|Housing & Utilities|mowed the lawn
434|Home Maintenance & Repairs|Housing & Utilities|lawn mowing
435|Home Maintenance & Repairs|Housing & Utilities|trimmed hedges
436|Home Maintenance & Repairs|Housing & Utilities|hedge trimming
437|Home Maintenance & Repairs|Housing & Utilities|new mailbox
438|Home Maintenance & Repairs|Housing & Utilities|mailbox replacement
439|Home Maintenance & Repairs|Housing & Utilities|installed a new mailbox
440|Home Maintenance & Repairs|Housing & Utilities|replaced the door
441|Home Maintenance & Repairs|Housing & Utilities|door replacement
442|Home Maintenance & Repairs|Housing & Utilities|new door
443|Home Maintenance & Repairs|Housing & Utilities|fixed broken door
444|Home Maintenance & Repairs|Housing & Utilities|door repair
445|Home Maintenance & Repairs|Housing & Utilities|replaced the windows
446|Home Maintenance & Repairs|Housing & Utilities|window replacement
447|Home Maintenance & Repairs|Housing & Utilities|new windows
448|Home Maintenance & Repairs|Housing & Utilities|window installation
449|Home Maintenance & Repairs|Housing & Utilities|foundation repair
450|Home Maintenance & Repairs|Housing & Utilities|fixed the foundation
451|Home Maintenance & Repairs|Housing & Utilities|repaired the foundation
452|Home Maintenance & Repairs|Housing & Utilities|drywall repair
453|Home Maintenance & Repairs|Housing & Utilities|fixed the drywall
454|Home Maintenance & Repairs|Housing & Utilities|repaired the drywall
455|Home Maintenance & Repairs|Housing & Utilities|painting the exterior
456|Home Maintenance & Repairs|Housing & Utilities|exterior paint
457|Home Maintenance & Repairs|Housing & Utilities|new garage door
458|Home Maintenance & Repairs|Housing & Utilities|garage door replacement
459|Home Maintenance & Repairs|Housing & Utilities|garage door installation
460|Home Maintenance & Repairs|Housing & Utilities|fixed the garage door
461|Home Maintenance & Repairs|Housing & Utilities|garage door repair
462|Home Maintenance & Repairs|Housing & Utilities|replaced broken fence panel
463|Home Maintenance & Repairs|Housing & Utilities|fence panel replacement
464|Home Maintenance & Repairs|Housing & Utilities|fixed broken fence panel
465|Home Maintenance & Repairs|Housing & Utilities|repaired broken fence panel
466|Home Maintenance & Repairs|Housing & Utilities|handyman services
467|Home Maintenance & Repairs|Housing & Utilities|general home repair
468|Home Maintenance & Repairs|Housing & Utilities|home improvement
469|Home Maintenance & Repairs|Housing & Utilities|home maintenance
470|Home Maintenance & Repairs|Housing & Utilities|house repair
471|Home Maintenance & Repairs|Housing & Utilities|Bought paint for the walls
472|Home Maintenance & Repairs|Housing & Utilities|Bought new shower head
473|Home Maintenance & Repairs|Housing & Utilities|Purchased new light fixtures
474|Home Maintenance & Repairs|Housing & Utilities|Paid for gutter cleaning
475|Home Maintenance & Repairs|Housing & Utilities|Paid for pest control
476|Home Maintenance & Repairs|Housing & Utilities|Bought new floorboards
477|Home Maintenance & Repairs|Housing & Utilities|Bought new carpet
478|Home Maintenance & Repairs|Housing & Utilities|Bought new hardwood flooring
479|Home Maintenance & Repairs|Housing & Utilities|Bought materials for deck repair
480|Home Maintenance & Repairs|Housing & Utilities|Paid for pressure washing
481|Home Maintenance & Repairs|Housing & Utilities|Bought new mailbox
482|Home Maintenance & Repairs|Housing & Utilities|Bought new door
483|Home Maintenance & Repairs|Housing & Utilities|Bought new windows
484|Home Maintenance & Repairs|Housing & Utilities|Paid for foundation repair
485|Home Maintenance & Repairs|Housing & Utilities|Bought drywall
486|Home Maintenance & Repairs|Housing & Utilities|Bought exterior paint
487|Home Maintenance & Repairs|Housing & Utilities|Bought new garage door
488|Home Maintenance & Repairs|Housing & Utilities|Bought fence panel
489|Home Maintenance & Repairs|Housing & Utilities|Paid handyman for services
490|Home Maintenance & Repairs|Housing & Utilities|Home repair supplies
491|Home Maintenance & Repairs|Housing & Utilities|Repairs to the roof shingles
492|Home Maintenance & Repairs|Housing & Utilities|Replaced some roof tiles
493|Home Maintenance & Repairs|Housing & Utilities|Fixed the dripping sink
494|Home Maintenance & Repairs|Housing & Utilities|Replaced the kitchen faucet
495|Home Maintenance & Repairs|Housing & Utilities|Installed new cabinet knobs
496|Home Maintenance & Repairs|Housing & Utilities|New light switch in the kitchen
497|Home Maintenance & Repairs|Housing & Utilities|Fixed a crack in the wall
498|Home Maintenance & Repairs|Housing & Utilities|Repaired the loose floorboard
499|Home Maintenance & Repairs|Housing & Utilities|The broken fence post was fixed
500|Home Maintenance & Repairs|Housing & Utilities|Repainted the front door
